X,Y,Color,Radius,A,B,C
7062.25,6895.04,1,1,3982.090703,0.611818,105.672005
6711.77,6004.27,1,1,3982.48434,0.78794,106.012878
6796.98,6035.55,1,1,3982.812429,0.834186,111.081909
6831.16,5984.29,1,1,3983.140496,0.81579,110.39109
6832.07,5952.04,1,1,3983.468499,0.725201,111.752579
6748.05,5899.75,1,1,3983.796574,0.769289,111.926003
6831,5997.17,1,1,3984.124613,0.787806,107.647964
6342.11,5244.41,1,1,3984.518263,0.480258,120.739647
6243.91,5266.13,1,1,3984.879081,0.749144,111.437988
6292.58,5237.76,1,1,3985.207043,0.622102,111.202637
6373.91,5350.47,1,1,3985.535106,0.768893,103.363548
6365.22,5471.22,1,1,3985.863131,0.857159,101.054115
6291.73,5582.58,1,1,3986.191147,1,97.704163
6396.32,5658.63,1,1,3986.61764,1,103.713638
6073.45,5514.42,1,1,3986.978511,0.930044,103.31852
6373.58,5637.45,1,1,3987.306507,0.964764,103.561592
6285.03,5570.92,1,1,3987.634537,1,104.661278
6303.17,5644.5,1,1,3987.962509,0.990781,105.84523
6288.49,5805.58,1,1,3988.290522,0.957721,108.570412
6403.2,5967.37,1,1,3988.618555,0.973367,111.882957
6300.46,5973.96,1,1,3989.04498,0.467385,99.845741
6410.51,5989.72,1,1,3989.373009,0.932714,110.026466
6444.05,5953.97,1,1,3989.701041,1,108.56028
6281.47,5948.98,1,1,3990.029035,0.997777,104.951691
6153.27,6007.04,1,1,3990.389938,0.832905,104.84063
6296.31,6303.67,1,1,3990.718045,0.848203,104.185516
6179.59,6258.34,1,1,3991.078906,0.90846,107.110466
6078.06,6140.01,1,1,3991.40701,0.992734,100.985374
6193.26,6227.83,1,1,3991.800644,0.993562,107.176392
6238.34,6130.52,1,1,3992.227083,0.78195,105.170906
6142.54,5975.53,1,1,3992.555212,1,100.994911
6198.46,6069.71,1,1,3992.883256,0.935678,104.097588
6165.73,6040.34,1,1,3993.21132,1,100.090607
6221.46,6225.68,1,1,3993.539344,0.964643,101.123634
6271.63,6177.88,1,1,3993.86738,1,102.87912
5725.03,6961.98,1,1,3994.654721,0.527315,110.284973
5913.55,7078.86,1,1,3995.015599,0.806022,115.911156
5920.37,7064.28,1,1,3995.343628,0.947316,111.234764
5962.58,6962.68,1,1,3995.6717,0.640544,106.643471
6039.77,5927.44,1,1,3996.130965,0.891035,109.011559
6057.49,5851.82,1,1,3996.459026,0.887024,112.000008
6152.98,5940.51,1,1,3996.787073,0.833821,111.842888
6188.64,5823.8,1,1,3997.115112,0.885093,110.605797
6231.33,5611.44,1,1,3997.443172,0.632299,114.542351
6350.67,5644.58,1,1,3997.803988,0.540424,114.947037
6416.98,5715.11,1,1,3998.132079,0.958003,112.278305
6356.79,5871.64,1,1,3998.460123,1,109.507843
6360.87,5880.63,1,1,3998.788222,1,106.356873
6253.44,5849.85,1,1,3999.116268,0.971035,105.609169
6145.32,6255.92,1,1,3999.444385,0.720354,102.246468
6106.14,6401.85,1,1,3999.805284,0.756925,104.404831
6201.33,6392.93,1,1,4000.133364,0.978205,107.876915
6194.27,6418.26,1,1,4000.461408,1,107.504623
6197,6325.46,1,1,4000.789473,0.990031,105.397125
6135.26,6358.4,1,1,4001.117483,0.527182,101.945702
5951.83,6377.35,1,1,4001.445553,0.705537,100.47821
5950.07,6379.14,1,1,4001.773624,1,101.236946
6188.1,6539.62,1,1,4002.101692,0.879396,102.161354
6260.33,6574.65,1,1,4002.429789,0.686417,107.550613
6168.1,6579.44,1,1,4002.823443,0.616914,109.578896
6211.19,6628.65,1,1,4003.184319,0.995407,106.620415
6115.23,6615.62,1,1,4003.51237,0.696434,107.959549
6162.3,6657.51,1,1,4004.266891,1,112.340454
6031.82,6584.81,1,1,4004.594871,0.690561,112.26593
6159.12,6645.2,1,1,4004.922971,0.688675,108.770798
6096.19,6364.7,1,1,4005.480589,0.585515,106.713318
6004.55,6224.64,1,1,4005.841454,0.539688,108.528801
6159.36,6219.79,1,1,4006.20233,0.64155,113.270119
6115.49,6107.3,1,1,4006.563183,0.760664,115.283012
6109.79,6058.2,1,1,4006.891242,0.932175,113.272926
6145.37,6140.62,1,1,4007.219313,0.810221,111.702484
6159.76,6173.81,1,1,4007.580174,0.320848,108.942863
6220.22,6143.98,1,1,4007.941017,1,108.399551
6199.86,6265.51,1,1,4008.269075,1,108.032745
6135.17,6369.46,1,1,4008.6299,0.940552,103.991982
6155.48,6305.29,1,1,4008.957918,0.768129,106.709419
6144.56,6107.48,1,1,4009.285923,0.778287,104.620995
6131.61,6099.54,1,1,4009.614021,0.93577,104.875031
6184.17,6132.81,1,1,4009.942054,0.597284,108.512238
6051.3,6156.66,1,1,4010.270031,0.794521,111.549942
6403.31,6624.81,1,1,4011.877664,0.828909,112.436371
6325.58,6538.98,1,1,4012.238494,0.947972,114.530632
6233.95,6557,1,1,4012.89468,0.465567,117.52491
6260.35,6461.12,1,1,4013.255512,0.620906,108.231453
6382.87,6487.76,1,1,4013.583565,1,107.010483
6391.49,6439.12,1,1,4013.911659,0.811305,108.476685
6399.03,6405.9,1,1,4014.239755,0.916724,107.817696
6247.79,5477.39,1,1,4014.600658,0.943733,108.283127
7766.75,6367.8,1,1,4015.027167,0.602944,115.218857
5746.95,6071.86,1,1,4015.55207,0.80978,108.296227
6645.85,5820.06,1,1,4016.076936,0.670748,109.069801
4308.52,6128.53,1,1,4017.126793,0.642092,114.30024
4093.12,5894.91,1,1,4017.487728,0.741,111.039871
6038.37,5833.72,1,1,4018.701627,0.901856,103.174049
5453.61,5523,1,1,4019.882699,0.765696,102.859589
5367.74,5416.48,1,1,4020.86686,0.626927,104.898941
5717.96,5559.02,1,1,4021.194947,0.857899,109.460167
5587.66,5546.58,1,1,4021.654301,0.374964,110.780327
5483.23,5465.18,1,1,4021.982437,0.593092,108.216064
5681.48,5668.98,1,1,4023.65538,1,105.265831
5610.91,5828.42,1,1,4024.442687,1,101.215012
5582.53,5805.78,1,1,4025.098942,0.898755,95.601372
5800.58,5736.81,1,1,4025.951892,0.665837,97.428589
5865.76,5725.14,1,1,4026.279951,0.964955,93.222107
5817.58,5753.86,1,1,4026.935982,0.705201,97.180351
6665.4,5415.35,1,1,4027.296893,0.715402,97.536148
6861.68,5959.38,1,1,4027.723396,0.646167,102.750122
6758.54,5993.08,1,1,4028.051461,1,110.331299
6986.43,5516.85,1,1,4028.445153,0.642731,111.03894
6408.25,4702.5,1,1,4029.068479,0.550435,112.422066
5648.37,3973.05,1,1,4030.019735,0.616994,115.826111
6420.94,4018.63,1,1,4031.758451,0.497086,98.711052
6610.56,4006.58,1,1,4033.037877,0.422978,94.646042
5943.37,3947.98,1,1,4033.464359,0.527283,104.719307
5270.64,3986.35,1,1,4034.284458,0.466554,103.539024
5526.19,3981.41,1,1,4034.645266,0.539138,100.777534
5744.72,3889.08,1,1,4035.071677,0.770499,104.587357
5984.11,3996.88,1,1,4035.629288,0.399513,102.706787
5943.76,3868.35,1,1,4036.022926,0.60892,107.194923
5743.71,3810.41,1,1,4036.44935,0.733484,107.227692
5789.61,3848.91,1,1,4036.777417,0.65019,106.618858
5844.26,3880.2,1,1,4037.105441,0.626059,104.470596
6242.93,4053.97,1,1,4037.66308,0.434549,77.516533
6048.71,3874.96,1,1,4038.155189,0.474468,100.879684
5979.21,3761.55,1,1,4038.581684,0.678891,99.351524
5984.9,3692.53,1,1,4038.909732,0.683774,100.791183
5951.75,3823.21,1,1,4039.237748,0.479854,99.868553
5909.52,3803.36,1,1,4039.565841,0.6001,99.081329
5828.88,3879.26,1,1,4039.893878,0.751868,98.969841
5776.59,3844.07,1,1,4040.25473,0.871426,100.379868
5688.56,3655.47,1,1,4040.648424,0.624969,105.446091
5664.36,3472.8,1,1,4041.140532,0.627054,106.876556
5623.82,3705.82,1,1,4041.501386,0.721341,105.537079
6092.89,3737.11,1,1,4042.02625,0.396851,100.940338
5845.33,3642.53,1,1,4042.38706,0.700516,103.388863
5746.41,3627.09,1,1,4042.715157,0.662,101.76635
5715.26,3601.24,1,1,4043.043236,0.878484,100.622185
5712.61,3679.12,1,1,4043.371289,0.661148,99.175827
5582.49,3861.42,1,1,4043.764905,0.667122,99.677216
5604.93,3931.32,1,1,4044.092906,0.627503,99.02906
5652.2,3971.61,1,1,4044.420885,0.894122,99.178726
6260.16,4188.56,1,1,4045.044151,0.42549,76.128685
6067.98,4052.61,1,1,4045.765881,0.567239,99.041748
6425.58,4113.16,1,1,4046.45472,0.459598,67.627319
6241.7,4043.99,1,1,4046.848441,0.589908,100.647667
6189.39,4145.16,1,1,4047.930969,0.651665,85.522995
6449.8,4167.22,1,1,4048.619858,0.574089,97.46357
6324.94,4149.53,1,1,4049.374378,0.511797,87.836929
6602.88,4259.71,1,1,4050.161693,0.605374,94.499664
6468.92,4141.38,1,1,4050.620962,0.485574,109.428818
6676.15,4315.97,1,1,4051.736406,0.470902,123.581993
6505.38,4239.96,1,1,4052.130077,0.455502,102.602486
6798.01,4379.17,1,1,4053.048545,0.497128,83.124153
6667.46,4242.53,1,1,4053.737444,0.467647,118.2761
6554.06,3877.67,1,1,4054.688765,0.505111,77.216743
6681.74,4018.24,1,1,4055.312075,0.524589,97.678185
7011.93,4212.01,1,1,4055.672893,0.637892,105.996643
6988.63,4224.76,1,1,4056.000928,0.536045,103.214294
6704.83,4179.31,1,1,4056.46021,0.565513,100.286453
6635.29,4119.61,1,1,4057.57571,0.51239,84.888527
6515.03,4235.43,1,1,4058.953634,0.432442,98.579933
6639.75,3957.09,1,1,4059.97061,0.504383,98.853592
7370,4198.64,1,1,4061.086009,0.523135,102.16481
7381.7,5592.02,1,1,4061.512513,0.985757,104.53096
6411.02,5864.84,1,1,4062.037399,1,99.012604
6202.52,6811.83,1,1,4062.398254,0.706184,104.284698
6332.15,6877.06,1,1,4062.726348,0.927232,108.189903
6681.47,5109.29,1,1,4063.08719,0.880454,100.488922
6242.45,4956.29,1,1,4063.415218,0.718769,95.096191
6353.28,5230.2,1,1,4063.808872,0.986972,103.688904
5912.75,6526.39,1,1,4064.235344,0.557992,107.855553
6090.75,6464.45,1,1,4064.661803,0.728962,96.927422
6234.67,6529.09,1,1,4064.989873,1,90.355904
6226.79,6425.38,1,1,4065.449121,0.795938,99.966736
6097.56,6318.03,1,1,4065.80995,1,99.609161
6433.13,6519.7,1,1,4066.137969,0.786711,99.169121
6470.15,6588.16,1,1,4066.46603,0.806143,98.328964
6349.9,6679.63,1,1,4066.794087,1,97.836372
6135.46,6705.71,1,1,4067.154965,0.68321,95.038513
6448.63,6813.65,1,1,4067.483001,0.721675,99.71344
6501.18,6833.02,1,1,4067.81105,0.78425,97.353577
6431.6,6651.01,1,1,4068.27036,0.874682,97.696625
6211.95,6576.43,1,1,4068.664019,0.760397,93.901138
6173.98,6431.6,1,1,4068.992009,0.894346,95.011192
6395.39,6577.62,1,1,4069.385742,0.780487,94.20594
6267.08,6532.06,1,1,4069.779398,0.940916,96.205498
6372.5,6552.47,1,1,4070.107506,0.930126,96.91304
6487.19,6373.4,1,1,4070.468365,0.892179,92.241417
6476.83,6365.94,1,1,4070.829199,0.802936,94.14518
6678.22,6449.63,1,1,4071.157265,0.937183,95.314026
