X,Y,Radius,Color,column3,column4,column5
5105.76,2970.57,1,1,3838.21945,0.443523,116.64563
5100.67,2910.73,1,1,3838.285069,0.374148,111.892273
4916.82,3111.67,1,1,3838.383499,0.367146,114.484138
5804.33,3979.91,1,1,3838.449112,0.586808,107.269333
5880.27,3888.51,1,1,3838.514731,0.732331,100.778893
5854.76,3877.16,1,1,3838.547523,0.724227,101.805626
5860.98,3860.23,1,1,3838.580322,0.587413,100.175133
5831.62,3838.77,1,1,3838.613107,0.688101,102.372101
5801.69,3846.07,1,1,3838.645928,0.778799,103.492477
6706.92,3911.03,1,1,3838.711522,0.636083,104.38868
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
6700.91,3911.39,1,1,3838.777138,0.603119,106.555412
6695.91,3914.42,1,1,3838.809952,0.651813,106.232101
6649.4,3905.64,1,1,3838.842743,0.513989,111.98378
5829.12,4645.85,1,1,3838.908343,0.315992,129.965469
5617.02,5535.46,1,1,3838.941146,0.703945,109.79705
5643.55,5534,1,1,3838.973946,0.833183,111.062073
5674.61,5527.3,1,1,3839.006755,0.791827,111.203926
5695.25,5517.89,1,1,3839.039567,0.675284,110.845383
5706.57,5521.45,1,1,3839.072356,0.861385,113.034935
5359.57,3876.38,1,1,3839.13795,0.747135,117.082962
5377.99,3918.07,1,1,3839.170766,0.883419,117.480286
5410.46,3941.08,1,1,3839.203557,0.770377,117.214859
5446.11,3969.84,1,1,3839.236368,0.658147,117.728096
5469.77,3977.1,1,1,3839.269165,0.750691,118.439674
5476.96,3962.1,1,1,3839.301979,0.780414,119.36721
4722.88,5606.92,1,1,3839.433179,0.348493,126.998375
5064.81,5098.71,1,1,3839.662814,0.482293,144.680649
4886.93,6513.33,1,1,3839.761237,0.507319,118.924103
4833.17,6055.58,1,1,3839.794037,0.386238,147.515533
5305.22,6612.15,1,1,3840.089275,0.434438,137.223572
5294.6,6633.65,1,1,3840.12207,0.71684,132.695755
5298.04,6614.63,1,1,3840.154859,0.603731,131.945816
5300.87,6599.39,1,1,3840.187659,0.637116,131.011139
5293.6,6584.13,1,1,3840.22046,0.599337,129.696335
5284.02,6566.83,1,1,3840.253271,0.749875,129.898621
5269.66,6571.21,1,1,3840.286055,0.793589,129.841583
5257.35,6557.94,1,1,3840.31885,0.776724,129.002258
5239.64,6554.74,1,1,3840.351647,0.440451,128.592957
5214.35,6536.55,1,1,3840.384435,0.585217,129.034592
5640.39,6764.81,1,1,3840.482843,0.472608,103.363693
5701.75,6176.74,1,1,3840.515654,0.562838,127.824875
5691.85,6148.39,1,1,3840.548455,0.600097,129.187057
5678.46,6135.26,1,1,3840.581269,0.68088,130.432785
5414.65,4738.21,1,1,3840.712517,0.476641,137.943542
5440.15,4662.85,1,1,3840.745314,0.460013,145.252686
5440.63,4723.54,1,1,3840.778107,0.470911,139.796448
5408.66,4930.52,1,1,3840.843718,0.426339,123.188316
5442.51,4936.81,1,1,3840.876517,0.536385,123.681747
5420.1,3745.57,1,1,3841.040514,0.696071,128.730316
5424.68,3775.92,1,1,3841.073314,0.752575,128.839569
5437.77,3793.75,1,1,3841.106133,0.57228,128.158875
