X,Y,Color,Radius,A,B,C
6393.24,5648.18,1,1,3986.748842,0.890225,105.353165
6373.58,5637.45,1,1,3987.306507,0.964764,103.561592
6286.74,5582.48,1,1,3987.831306,0.971974,105.739578
6378.36,5842.68,1,1,3988.356134,0.609384,106.560699
6399.93,5985.66,1,1,3988.880956,1,109.78508
6434.7,5968.05,1,1,3989.504216,1,108.640526
6281.47,5948.98,1,1,3990.029035,0.997777,104.951691
6261.11,6222.33,1,1,3990.586787,1,104.055046
6188.7,6266.93,1,1,3991.144506,0.945183,106.053368
6196.57,6230.44,1,1,3991.735052,0.979842,106.211639
6207.55,6018.88,1,1,3992.358348,0.961366,101.792435
6198.46,6069.71,1,1,3992.883256,0.935678,104.097588
6187.3,6093.38,1,1,3993.408163,0.868473,100.55246
6279.19,6173.46,1,1,3993.933015,1,103.792686
5938.7,7101.18,1,1,3994.949992,0.681653,114.371216
5907.27,7039.93,1,1,3995.474847,0.823425,108.021255
6039.77,5927.44,1,1,3996.130965,0.891035,109.011559
6092.89,5927.62,1,1,3996.655882,0.748184,112.715179
6199.01,5810.36,1,1,3997.180743,0.956668,111.532669
6246.54,5544.4,1,1,3997.705579,1,116.430649
6372.34,5822.71,1,1,3998.263279,0.882405,108.880074
6360.87,5880.63,1,1,3998.788222,1,106.356873
6160.41,6044.88,1,1,3999.313111,0.890189,103.651741
6096.9,6400.94,1,1,3999.870912,0.985125,105.033165
6212.15,6430.39,1,1,4000.395801,0.622146,106.41478
6196.1,6354.31,1,1,4000.920669,0.840217,103.732841
5951.83,6377.35,1,1,4001.445553,0.705537,100.47821
6008.95,6394.87,1,1,4001.970466,1,100.517349
6145.69,6537.16,1,1,4002.561006,0.581791,109.887413
6094.92,6539.76,1,1,4003.085918,0.885189,106.872574
5989.15,6675,1,1,4004.004432,0.531802,117.116707
6031.82,6584.81,1,1,4004.594871,0.690561,112.26593
6146.2,6626.47,1,1,4005.119783,0.807941,107.81797
6020.45,6216.76,1,1,4005.90705,0.397001,108.494423
6106.29,6133.19,1,1,4006.464775,0.755,112.994232
6147.61,6118.63,1,1,4007.022468,0.903744,112.392639
6159.76,6173.81,1,1,4007.580174,0.320848,108.942863
6221.74,6233.13,1,1,4008.137859,1,106.536774
6153.72,6349.05,1,1,4008.695491,0.917003,103.69149
6139.65,6151.95,1,1,4009.220313,1,103.952103
6168.65,6057.99,1,1,4009.745245,0.934859,108.15097
6051.3,6156.66,1,1,4010.270031,0.794521,111.549942
6356.53,6584.53,1,1,4012.107311,0.836841,112.841797
6120.43,6396.75,1,1,4012.993077,0.508837,127.24041
6378.75,6494.02,1,1,4013.517948,0.84676,107.936905
6391.42,6411.48,1,1,4014.042901,0.99451,106.368919
6247.79,5477.39,1,1,4014.600658,0.943733,108.283127
6093.14,5452.96,1,1,4015.35523,0.796279,112.883026
6716.41,5839.18,1,1,4016.142553,0.80099,109.824486
4049.16,5918.74,1,1,4017.422102,0.632266,112.698593
5446.04,5468.62,1,1,4019.587436,0.4049,106.99791
5367.74,5416.48,1,1,4020.86686,0.626927,104.898941
5623.76,5574.43,1,1,4021.523069,0.549366,107.847305
5473.01,5464.88,1,1,4022.048029,0.636198,107.876274
5631.97,5822.28,1,1,4024.278655,1,99.040695
5737.6,5692.45,1,1,4025.722235,0.615235,97.751328
5865.76,5725.14,1,1,4026.279951,0.964955,93.222107
5833.75,5747.88,1,1,4027.132841,0.966569,99.876366
6820.95,6034.95,1,1,4027.78901,0.784061,105.409378
6542.67,5989.98,1,1,4028.313924,0.660492,108.443115
6083.62,4667.26,1,1,4029.396499,0.348751,98.69754
6420.94,4018.63,1,1,4031.758451,0.497086,98.711052
6643.1,4013.81,1,1,4033.234715,0.629593,90.434357
5269.88,3976.8,1,1,4034.350074,0.509155,107.199219
5742.97,3906.43,1,1,4035.006083,0.624589,102.789459
5887.53,3898.18,1,1,4035.82613,0.340386,109.219589
5743.71,3810.41,1,1,4036.44935,0.733484,107.227692
5810.68,3865.56,1,1,4036.974225,0.643197,103.71357
5988.88,3896.88,1,1,4037.761498,0.610322,103.546303
6014.9,3781.89,1,1,4038.483288,0.402535,97.059097
5983.16,3711.1,1,1,4039.04093,0.508868,100.278793
5909.52,3803.36,1,1,4039.565841,0.6001,99.081329
5779.99,3859.29,1,1,4040.090687,0.66547,99.157074
5516.51,3485.24,1,1,4040.77967,0.475112,102.200829
5672.41,3610.81,1,1,4041.435772,0.665655,105.215714
6102.87,3704.24,1,1,4042.157465,0.398196,104.214531
5746.41,3627.09,1,1,4042.715157,0.662,101.76635
5734.1,3653.68,1,1,4043.240052,0.661041,100.073303
5567.38,3869.48,1,1,4043.830493,0.691833,99.702103
